Name,OriginID,DestinationID,DestinationRank,Total_Length
Ankang - Chengdu,1,2,1,655.7523683
Ankang - Beijing,1,1,2,1283.110031
Ankang - Shanghai,1,4,3,1450.549249
Ankang - Guangzhou,1,3,4,1704.37434
Anqing - Shanghai,2,4,1,662.8666616
Anqing - Beijing,2,1,2,1226.138937
Anqing - Guangzhou,2,3,3,1307.429377
Anqing - Chengdu,2,2,4,1683.65978
Anshan - Beijing,3,1,1,694.7993237
Anshan - Shanghai,3,4,2,1957.035545
Anshan - Chengdu,3,2,3,2519.020812
Anshan - Guangzhou,3,3,4,2891.956605
Anshun - Chengdu,4,2,1,736.2616198
Anshun - Guangzhou,4,3,2,1231.78023
Anshun - Shanghai,4,4,3,1941.62658
Anshun - Beijing,4,1,4,2221.841725
Anyang - Beijing,5,1,1,499.2762759
Anyang - Shanghai,5,4,2,1044.937994
Anyang - Chengdu,5,2,3,1425.16704
Anyang - Guangzhou,5,3,4,1741.557355
Baicheng - Beijing,6,1,1,986.0747128
Baicheng - Shanghai,6,4,2,2315.777514
Baicheng - Chengdu,6,2,3,2807.909936
Baicheng - Guangzhou,6,3,4,3224.522078
Baise - Guangzhou,7,3,1,887.2395689
Baise - Chengdu,7,2,2,1105.513219
Baise - Shanghai,7,4,3,2122.536554
Baise - Beijing,7,1,4,2497.312574
Baishan - Beijing,8,1,1,1032.393984
Baishan - Shanghai,8,4,2,2294.630205
Baishan - Chengdu,8,2,3,2856.615472
Baishan - Guangzhou,8,3,4,3229.551265
Baiyin - Chengdu,9,2,1,992.6923076
Baiyin - Beijing,9,1,2,1488.820161
Baiyin - Shanghai,9,4,3,2075.562736
Baiyin - Guangzhou,9,3,4,2458.408595
Baoding - Beijing,10,1,1,145.3255888
Baoding - Shanghai,10,4,2,1300.365341
Baoding - Chengdu,10,2,3,1678.8959
Baoding - Guangzhou,10,3,4,2095.508042
Baoji - Chengdu,11,2,1,618.19443
Baoji - Beijing,11,1,2,1223.258034
Baoji - Shanghai,11,4,3,1600.48137
Baoji - Guangzhou,11,3,4,1983.327229
Baoshan - Chengdu,12,2,1,1153.388765
Baoshan - Guangzhou,12,3,2,2048.373974
Baoshan - Shanghai,12,4,3,2928.285719
Baoshan - Beijing,12,1,4,2970.142345
Baotou - Beijing,13,1,1,688.3526854
Baotou - Chengdu,13,2,2,1669.415484
Baotou - Shanghai,13,4,3,1964.526352
Baotou - Guangzhou,13,3,4,2600.866877
Bayan Nur - Beijing,14,1,1,934.9884093
