city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Ankang,126.29,0.186666667,0.16544418,304,0.8766,297.15,0.9718,129.02,0.26802325,130.98,0.27114561,129.16383,0,,0,4
Anqin,394.79001,0.267564156,0.30452845,529,1.7775,607.89,2.7667,402.06,0.44441262,405.84,0.45029551,390.75195,0,,0,4
Anshan,377.16,0.553246753,0.54867923,346,3.0457,348.95,5.1551,380.48999,0.54038155,377.89999,0.50734335,373.85196,1,2012,0,4
Anshun,281.70999,0.323429542,0.2880342,300,0.8077,260.98,1.64,295.12,0.38816568,308.20999,0.34848508,323.72937,1,2016,0,4
Anyang,746.92999,0.560120706,0.56296468,626,2.8476,553.7,1.682,773.17999,0.62832171,818.82001,0.6182456,847.77899,1,2012,0,4
Baicheng,78.620003,0.402968037,0.34574765,193,1.2923,202.4,1.2195,78.919998,0.34583333,77.339996,0.31816536,74.92527,0,,0,4
Baise,104.64,0.338461538,0.32299888,417,0.8273,378.8,1.7738,110.1,0.3278302,113.71,0.28343588,115.187,0,,0,4
Baishan,74.339996,0.51372273,0.46402439,122,1.2548,129.98,5.7643,74.190002,0.54473686,72.709999,0.47305864,69.694374,0,,0,4
Baiyin,82.489998,0.574481074,0.5112583,182,0.5766,174.54,0.7315,84.860001,0.5153439,83.660004,0.45641199,86.01947,0,,0,4
Baoding,537.34998,0.423153693,0.42296296,1207,5.39,1106.08,3.7662,561.25,0.53943944,556.89001,0.5237419,544.06128,1,2012,0,4
Baoji,204.59,0.496293909,0.46978998,384,2,371.78,1.4685,208.91,0.53938621,212.86,0.5111984,211.95563,1,2013,0,4
Baoshan,124.41,0.333998006,0.47071743,261,0.8194,244.3,0.6899,127.43,0.46229509,130.83,0.47083369,132.91235,0,,0,4
Baotou,76.489998,0.619946092,0.5109356,224,5.3763,212.41,3.1829,79.080002,0.58747101,81.040001,0.53584701,80.668396,0,,0,4
Bayan Nur,27.85,0.437283437,0.43877551,175,1.4486,179.41,1.1196,26.9,0.38013244,28.450001,0.333076,26.404333,0,,0,4
Bazhong,301.14999,0.362095532,0.32821637,375,1.653,370.45,1.0247,326.14001,0.56339622,317.42001,0.55213577,305.05167,0,,0,4
Beihai,455.67999,0.311340206,0.37156397,174,0.8923,152.06,0.843,480.01001,0.42101449,507.60999,0.41893268,521.42645,0,,0,4
Beijing,729.75,0.281554721,0.23965448,1363,9.1421,1197.6,10.3986,759.14001,0.22364274,802.10999,0.1896884,830.54047,1,2011,1,1
