data_rnum,name,v_a_hat,n_hat,v_a_2017,n_2017,Model_Perf_va,Model_Perf_n,chr_dummy,year_chr,trade_accessible_dummy,n_2007,v_a_2007,type
16,Beihai,0.413507828,953.2469526,0.41893268,521.42645,-0.005424852,431.8205026,0,NA,0,455.67999,0.311340206,1
18,Bengbu,0.454586121,1125.537013,0.45764628,638.54816,-0.003060159,486.9888532,1,2011,0,592.19,0.365990991,1
27,Changzhou,0.587765165,1173.821597,0.59922922,857.53485,-0.011464055,316.2867469,1,2010,0,810.66998,0.525205479,1
29,Chaozhou,0.532287287,1696.906747,0.57070476,870.9472,-0.038417473,825.9595466,1,2013,0,809.35999,0.414910859,1
46,Dongguan,0.62347793,1484.402,0.8207683,817.07318,-0.19729037,667.32882,0,NA,1,682.79999,0.4125,1
50,Foshan,0.666786597,1958.419447,0.73667502,1053.1859,-0.069888423,905.2335467,1,2014,1,932.81,0.534056317,1
98,Jieyang,0.529077258,2597.868864,0.5833168,1323.8367,-0.054239542,1274.032164,1,2013,0,1190.74,0.324681685,1
106,Jinhua,0.634048755,822.082355,0.65962422,439.59058,-0.025575465,382.491775,1,2014,0,417.63,0.53422619,1
113,Kaifeng,0.504066706,1651.842005,0.54986715,867.47363,-0.045800444,784.3683751,1,2015,0,772.70001,0.346166951,1
128,Linyi,0.494129786,936.6239284,0.50915676,663.71936,-0.015026974,272.9045684,0,NA,0,594.82001,0.42913598,1
136,Luohe,0.597698825,1554.668801,0.61286384,1027.8945,-0.015165015,526.7743007,1,2012,0,1019.3,0.526511628,1
141,Maoming,0.445908216,1276.655296,0.45587981,699.09875,-0.009971594,577.5565461,0,NA,0,612.31,0.348311026,1
146,Nanchang,0.583221678,1379.123951,0.62719381,706.5658,-0.043972132,672.558151,1,2014,0,653.82001,0.446883972,1
155,Ningde,0.475359886,541.0420736,0.47867176,265.72055,-0.003311874,275.3215236,1,2013,0,247.50999,0.275390625,1
163,Puyang,0.57413351,1513.981769,0.59379125,1033.9064,-0.01965774,480.0753692,0,NA,0,891.02002,0.498121478,1
182,Shantou,0.534367886,5088.404368,0.57862467,2542.0645,-0.044256784,2546.339868,1,2013,0,2399.95,0.391163093,1
183,Shanwei,0.556715238,1313.271441,0.60685122,744.09045,-0.050135982,569.1809908,1,2013,0,613.21997,0.388423458,1
189,Shenzhen,0.58730502,1666.515165,0.58983129,1927.8918,-0.00252627,-261.3766352,1,2013,1,1007.83,0.555931475,1
201,Suqian,0.556836178,1359.1381,0.6431824,694.50964,-0.086346222,664.6284601,0,NA,0,618.90002,0.334417344,1
207,Taizhou_Zhejiang,0.620931054,1259.179308,0.67074496,637.55182,-0.049813906,621.6274877,1,2013,0,600,0.493351994,1
225,Wuxi,0.62671928,1617.250677,0.6419605,1050.3566,-0.01524122,566.8940773,1,2010,1,956.14001,0.545253111,1
237,Xinxiang,0.579387644,1488.127402,0.61561048,745.44196,-0.036222836,742.6854424,1,2012,0,705.79999,0.444444444,1
238,Xinyang,0.43043146,873.8591891,0.44210294,483.31293,-0.01167148,390.5462591,1,2012,0,418.29001,0.329735034,1
241,Xuchang,0.557983761,1975.149703,0.5954538,1020.6124,-0.037470039,954.5373033,1,2012,0,935.83002,0.422752294,1
242,Xuzhou,0.54916501,1734.636112,0.57575238,884.82788,-0.02658737,849.8082322,1,2015,0,830.28003,0.438643166,1
245,Yancheng,0.610373538,987.5409074,0.63318539,490.81567,-0.022811852,496.7252374,0,NA,0,474.14999,0.502559902,1
261,Yulin_Guangxi,0.418568537,990.7383427,0.42237473,558.62872,-0.003806193,432.1096227,0,NA,0,474.60999,0.320534224,1
273,Zhengjiang,0.589465055,1045.683881,0.60279965,708.33331,-0.013334595,337.3505711,1,2010,0,698.70001,0.520635891,1
275,Zhongshan,0.729808041,1389.198548,0.75674087,902.46637,-0.026932829,486.7321782,0,NA,1,790.33002,0.645734597,1
277,Zhoukou,0.489187948,2054.785326,0.49948478,1052.5875,-0.010296832,1002.197826,0,NA,0,945.22998,0.298249602,1
280,Zhumadian,0.49537929,1226.797486,0.49974364,629.01837,-0.00436435,597.7791155,1,2012,0,563.81,0.301591814,1
2,Anqin,0.452349216,857.9104155,0.45029551,390.75195,0.002053706,467.1584655,0,NA,0,394.79001,0.267564156,1
17,Beijing,0.203304395,1374.155549,0.1896884,830.54047,0.013615995,543.6150791,1,2011,1,729.75,0.281554721,2
31,Chengdu,0.299799951,1647.960546,0.33947906,975.93304,-0.039679109,672.0275056,1,2014,0,890.56,0.493141831,2
60,Guangzhou,0.320466882,1945.427934,0.33109117,1170.2986,-0.010624288,775.1293335,1,2009,1,1023.24,0.443232284,2
71,Hefei,0.545867326,1402.399911,0.58166432,637.83313,-0.035796994,764.5667815,0,NA,0,668.45001,0.425746924,1
151,Nantong,0.725842927,2030.671883,0.81480181,727.08313,-0.088958883,1303.588753,0,NA,0,962.12,0.573850725,1
164,Qingdao,0.493025546,1265.078799,0.53343725,701.11682,-0.040411704,563.9619788,1,2014,1,670.59003,0.658530934,2
178,Shanghai,0.350624313,2827.379381,0.35184434,2286.7056,-0.001220027,540.6737806,1,2010,1,2157.6799,0.412787201,2
180,Shangqiu,0.464904392,1772.250658,0.47274601,767.77997,-0.007841618,1004.470688,1,2015,0,818.10999,0.284559207,1
220,Wenzhou,0.548457848,1229.979304,0.56703991,676.98419,-0.018582062,552.9951139,1,2013,0,641.96002,0.672139775,2
229,Xiamen,0.60663824,1967.80386,0.63328654,1300.7651,-0.0266483,667.0387596,1,2013,1,1022.18,0.720500904,2
228,Xi'an,0.371218424,1150.018894,0.3800689,816.34674,-0.008850476,333.6721536,1,2010,0,745.06,0.455955236,2
279,Zhuhai,0.570601907,1044.293208,0.60979497,663.97229,-0.039193063,380.3209181,0,NA,1,548.82001,0.71815562,2
